CGPA,Projects,Placed
7.5,2,1
9.8,0,1
8.93,4,1
8.39,5,1
6.62,2,0
6.62,1,0
6.23,2,0
9.46,2,1
8.4,1,1
8.83,3,1
6.08,3,0
9.88,0,1
9.33,0,1
6.85,3,0
6.73,5,1
6.73,4,1
7.22,2,0
8.1,4,1
7.73,2,1
7.16,3,0
8.45,0,1
6.56,5,1
7.17,0,0
7.47,4,1
7.82,0,1
9.14,3,1
6.8,5,0
8.06,4,1
8.37,5,1
6.19,2,0
8.43,0,0
6.68,5,0
6.26,1,0
9.8,0,1
9.86,2,1
9.23,5,1
7.22,4,0
6.39,2,0
8.74,1,0
7.76,5,1
6.49,3,0
7.98,0,0
6.14,4,1
9.64,3,1
7.04,5,1
8.65,5,1
7.25,2,0
8.08,5,1
8.19,4,1
6.74,3,0
9.88,4,1
9.1,1,1
9.76,1,1
9.58,0,1
8.39,0,0
9.69,1,1
6.35,5,0
6.78,4,1
6.18,1,0
7.3,0,0
7.55,1,0
7.09,5,0
9.31,1,1
7.43,4,0
7.12,3,0
8.17,5,1
6.56,0,0
9.21,4,1
6.3,1,0
9.95,1,1
9.09,3,1
6.79,0,0
6.02,0,0
9.26,2,1
8.83,0,1
8.92,3,1
9.09,2,1
6.3,2,0
7.43,1,0
6.46,1,0
9.45,0,1
8.49,2,0
7.32,1,0
6.25,3,0
7.24,1,0
7.3,5,0
8.92,5,1
8.55,1,0
9.55,2,1
7.89,2,1
6.48,4,0
8.85,5,1
9.04,3,1
8.25,2,1
9.08,0,1
7.98,5,1
8.09,3,1
7.71,3,1
6.1,2,0
6.43,3,0
6.13,2,0
8.55,1,1
7.26,5,1
8.03,4,1
9.63,1,1
7.0,5,1
7.64,2,1
9.02,5,1
6.92,2,0
6.31,1,0
7.16,0,0
6.64,0,0
9.72,5,1
9.23,0,1
8.53,2,1
9.49,3,1
9.21,2,1
6.75,3,1
9.57,1,1
8.16,4,1
9.23,3,1
9.58,0,1
7.27,2,0
6.44,1,0
6.91,0,0
7.71,1,0
9.27,4,1
9.44,2,1
6.03,5,1
8.04,2,1
7.67,4,1
6.89,2,0
6.48,5,1
7.35,3,0
9.77,1,1
7.29,5,1
8.08,0,0
8.81,4,0
7.45,3,0
9.89,0,1
9.85,0,1
7.01,4,0
7.99,3,1
7.2,0,0
7.14,0,0
6.15,3,0
8.44,2,1
8.01,0,0
6.21,1,0
7.11,3,1
9.63,0,1
6.96,4,1
6.58,5,1
7.96,1,0
9.94,5,1
6.97,5,1
8.69,0,0
9.05,1,1
6.95,1,0
8.91,2,1
